사건,신고시각,출동시각,현장도착시각,구조완료시각,복귀시각,신고,출동,구조,복귀,현장시도명,현장시군구명,손상지역경도,손상지역위도,사고원인명,소방서명,센터명,처리결과구분명,계절명
25,2023.1.4 16:02,2023.1.4 16:02,2023.1.4 16:06,2023.1.4 16:06,2023.1.4 16:09,0:00,0:04,0:00,0:03,서울특별시,강동구,127.1164217,37.54381296,익수,강동소방서,구조대,타 기관처리,겨울
26,2023.1.4 16:02,2023.1.4 16:02,2023.1.4 16:03,2023.1.4 16:06,2023.1.4 16:15,0:00,0:01,0:03,0:09,서울특별시,강동구,127.1164217,37.54381296,기타 수난 ,119특수구조단,광나루수난구조대,기타안전조치,겨울
27,2023.1.5 13:24,2023.1.5 13:25,2023.1.5 13:28,2023.1.5 13:50,2023.1.5 13:55,0:01,0:03,0:22,0:05,서울특별시,영등포구,126.9034465,37.54280062,기타 수난 ,마포소방서,구조대,안전조치,겨울
28,2023.1.5 13:24,2023.1.5 13:25,2023.1.5 13:28,2023.1.5 13:45,2023.1.5 14:00,0:01,0:03,0:17,0:15,서울특별시,영등포구,126.9034465,37.54280062,기타 수난 ,119특수구조단,여의도수난구조대,기타안전조치,겨울
29,2023.1.5 20:32,2023.1.5 20:34,2023.1.5 20:40,2023.1.5 20:45,2023.1.5 21:00,0:02,0:06,0:05,0:15,서울특별시,영등포구,126.9254769,37.53310136,기타 수난 ,119특수구조단,여의도수난구조대,구급대 인계,겨울
30,2023.1.6 11:28,2023.1.6 11:30,2023.1.6 11:35,2023.1.6 11:38,2023.1.6 11:45,0:02,0:05,0:03,0:07,서울특별시,마포구,126.9412312,37.53663405,기타 수난 ,영등포소방서,여의도119안전센터,타기관 인계,겨울
31,2023.1.6 11:28,2023.1.6 11:30,2023.1.6 11:35,2023.1.6 11:38,2023.1.6 11:45,0:02,0:05,0:03,0:07,서울특별시,마포구,126.9412312,37.53663405,수색,영등포소방서,구조대,타 기관처리,겨울
32,2023.1.7 3:24,2023.1.7 3:26,2023.1.7 3:28,2023.1.7 3:33,2023.1.7 3:47,0:02,0:02,0:05,0:14,서울특별시,용산구,127.0112716,37.52862283,기타 수난 ,강남소방서,영동119안전센터,타기관 인계,겨울
33,2023.1.7 3:24,2023.1.7 3:26,2023.1.7 3:28,2023.1.7 3:33,2023.1.7 3:43,0:02,0:02,0:05,0:10,서울특별시,용산구,127.0112716,37.52862283,기타 수난 ,서초소방서,구조대,타기관 인계,겨울
34,2023.1.7 3:24,2023.1.7 3:26,2023.1.7 3:28,2023.1.7 3:33,2023.1.7 3:50,0:02,0:02,0:05,0:17,서울특별시,용산구,127.0112716,37.52862283,기타 수난 ,119특수구조단,반포수난구조대,타기관 인계,겨울
